id,stress_type,input_text,ground_truth_summary,critical_facts,llm_summary
1,normal,The account offers a 1.25% APY. Customers must maintain a minimum balance of $25000 to earn the disclosed APY.,The account offers a 1.25% APY and requires a minimum balance of $25000.,1.25% APY; $25000 minimum balance,"The account offers a 1.25% APY. Customers must maintain a minimum balance of $25,000 to earn the disclosed APY."
2,normal,The account offers a 2.1% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.,The account offers a 2.1% APY and requires a minimum balance of $1000.,2.1% APY; $1000 minimum balance,The account offers a 2.1% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.
3,normal,The account offers a 5.1% APY. Customers must maintain a minimum balance of $25000 to earn the disclosed APY.,The account offers a 5.1% APY and requires a minimum balance of $25000.,5.1% APY; $25000 minimum balance,"The account offers a 5.1% APY. Customers must maintain a minimum balance of $25,000 to earn the disclosed APY."
4,normal,The account offers a 4.75% APY. Customers must maintain a minimum balance of $5000 to earn the disclosed APY.,The account offers a 4.75% APY and requires a minimum balance of $5000.,4.75% APY; $5000 minimum balance,The account offers a 4.75% APY. Customers must maintain a minimum balance of $5000 to earn the disclosed APY.
5,normal,The account offers a 1.25% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.,The account offers a 1.25% APY and requires a minimum balance of $1000.,1.25% APY; $1000 minimum balance,The account offers a 1.25% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.
6,normal,The account offers a 4.75% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.,The account offers a 4.75% APY and requires a minimum balance of $1000.,4.75% APY; $1000 minimum balance,The account offers a 4.75% APY. Customers must maintain a minimum balance of $1000 to earn the disclosed APY.
7,normal,Wire transfers submitted before 5:00 PM ET are processed the same business day.,Wire transfers submitted before 5:00 PM ET are processed the same business day.,5:00 PM ET cutoff,Wire transfers submitted before 5:00 PM ET are processed the same business day.
8,normal,Wire transfers submitted before 5:00 PM ET are processed the same business day.,Wire transfers submitted before 5:00 PM ET are processed the same business day.,5:00 PM ET cutoff,Wire transfers submitted before 5:00 PM ET are processed the same business day.
9,normal,Wire transfers submitted before 3:00 PM ET are processed the same business day.,Wire transfers submitted before 3:00 PM ET are processed the same business day.,3:00 PM ET cutoff,Wire transfers submitted before 3:00 PM ET are processed the same business day.
10,normal,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.,The account offers a 3.5% APY and requires a minimum balance of $500.,3.5% APY; $500 minimum balance,The account offers a 3.5% APY. Customers must maintain a minimum balance of $500 to earn the disclosed APY.
